id,question,answer_relevancy,answer_relevancy_reason,faithfulness_deepeval,faithfulness_deepeval_reason,contextual_relevancy,contextual_relevancy_reason
2,ĐANG LÀM GIÁM ĐỐC CÔNG TY CỔ PHẦN CÓ ĐƯỢC LÀM GIÁM ĐỐC CHI NHÁNH CỦA CÔNG TY TNH,,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils'
0,"HD thuê nhà thời hạn 1 năm không công chứng

Kính thưa Luật sư! Nhờ luật sư và c",,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils'
1,"công nhân nghỉ chờ hưu của BHXH

Tôi là công nhân lái xe đã tham gia công tác từ",,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils'
4,"Địa điểm đăng ký kinh doanh

Kính gởi anh chị, Hiện tại tôi đang kinh doanh thuố",,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils'
3,"Giấy tờ cần thiết đối với thành viên góp vốn Công ty TNHH 2TV trở lên

Chào luật",,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils'
9,"Tòa tuyên hủy hợp đồng nhưng không giải quyết hậu quả

Ông Bạch Công Luân là chủ",,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils'
5,"Hỏi về kê khai hóa đơn đầu vào

Công ty em kinh doanh ăn uống. tháng nào cũng nh",,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils'
6,"Kê khai hóa đơn sau khi đã chốt hóa đơn cho cơ quan quản lí thuế

Chào anh chị L",,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils'
8,Thủ tục hoàn thuế GTGT và thuế TNCN từ cho thuê tài sản sau khi bị cưỡng chế thu,,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils'
7,"Xin tư vấn về việc bồi thường đất bị thu hồi để nâng cấp dự án đường hương lộ.

",,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils'
13,"câu hỏi ve thuê

xin chào luật sư! Ở địa phương tôi có doanh nghiệp kinh doanh d",,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils'
11,"Kính chào LS Thành

Kính chào LS Thành!!! Em là Trinh. Em có 1 vấn đề nhỏ cần sự",,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils'
10,"Xin luật sư tư vấn giúp

Chào các luật sư . Cháu là một sinh viên Luật năm thứ 3",,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils'
14,"Hỏi về thành lập công ty

Kính chào các luật sư! Mình muốn thành lập công ty bên",,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils'
12,"trả lương ko đúng với thực tế

em làm cho công ty tư nhân. trong khai báo thuế g",,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils'
15,"nhập khẩu hàng đối với chi nhánh côgn ty

Em xin chào ạ! Vui lòng có thể tư vấn ",,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils'
18,"Nên ký hợp đồng gì với lao động tạp vụ

Kính gửi luật sư, Hiện công ty tôi đang ",,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils'
17,"Thuế thu nhập khi bán đất.

Kính Thưa Luật Sư Ba Má tôi đang chỉ đứng tên 1 miến",,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils'
16,"vấn đề tranh chấp đất đai

trước đây cha tôi có chia cho anh em trong gia đình m",,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils'
19,"Tranh chấp đất đai

- Gia đình cháu đang tranh chấp về đât đai như sau. Bà nội c",,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils',,lỗi: No module named 'retrieval.retry_utils'
